"species","functional_group","r_functional_group:comname",".lower",".upper",".width",".point",".interval","comname","mean_dist","dist_group"
"Pollock","Piscivore",0.00385215099833468,-0.0587494177109598,0.066002559316805,0.75,"median","qi","Pollock",96.9475808727944,"Medium (25–75%)"
"Red hake","Piscivore",-0.12269920075845,-0.187167656666001,-0.0581859221330995,0.75,"median","qi","Red hake",78.2099753817078,"Medium (25–75%)"
"Scup","Benthivore",-0.0946989519857653,-0.158622904941992,-0.0325352073889794,0.75,"median","qi","Scup",180.08121440808,"Long (75–100%)"
"Sea raven","Piscivore",-0.0379478641914666,-0.101234322984986,0.024889275858403,0.75,"median","qi","Sea raven",43.4525288246209,"Short (0–25%)"
"Silver hake","Piscivore",-0.15512293105792,-0.221751391131757,-0.0910660746593767,0.75,"median","qi","Silver hake",129.312808524157,"Medium (25–75%)"
"Smooth dogfish","Benthivore",0.0679115426530077,0.0015285870610909,0.133860304518465,0.75,"median","qi","Smooth dogfish",NA,NA
"Smooth skate","Benthivore",-0.054395274677127,-0.117957037936754,0.00818751329367178,0.75,"median","qi","Smooth skate",60.2619682916182,"Short (0–25%)"
"Spiny dogfish","Piscivore",0.110680666653899,0.0478223096897529,0.175700647608309,0.75,"median","qi","Spiny dogfish",355.780410574432,"Long (75–100%)"
"Spotted hake","Piscivore",-0.0271900723665038,-0.0892484824133203,0.0357523230134605,0.75,"median","qi","Spotted hake",121.126693470697,"Medium (25–75%)"
"Striped searobin","Benthivore",0.00785564256252966,-0.0557626484187976,0.071305099292467,0.75,"median","qi","Striped searobin",NA,NA
"Summer flounder","Piscivore",0.0299393017938033,-0.0332677898567124,0.0918925728282496,0.75,"median","qi","Summer flounder",160.8494383658,"Medium (25–75%)"
"Thorny skate","Piscivore",0.0946296710785623,0.033545885486594,0.159093814980851,0.75,"median","qi","Thorny skate",50.9197713623978,"Short (0–25%)"
"White hake","Piscivore",0.0441412674367462,-0.0179324302118918,0.106664738570813,0.75,"median","qi","White hake",56.1774976847479,"Short (0–25%)"
"Windowpane flounder","Benthivore",0.0536997036064043,-0.00997245292857244,0.115047691337566,0.75,"median","qi","Windowpane flounder",147.515755396137,"Medium (25–75%)"
"Winter flounder","Benthivore",-0.12784861183633,-0.191479115683791,-0.0628887783784265,0.75,"median","qi","Winter flounder",86.0049868544382,"Medium (25–75%)"
"Winter skate","Piscivore",0.0872490541894084,0.0251945592769208,0.150714316307447,0.75,"median","qi","Winter skate",109.758756706403,"Medium (25–75%)"
"Witch flounder","Benthivore",0.109387554799657,0.0474891842743946,0.173248044991903,0.75,"median","qi","Witch flounder",66.1745551959217,"Short (0–25%)"
"Yellowtail flounder","Benthivore",-0.0650502417948322,-0.129265251797636,-0.00411798794828066,0.75,"median","qi","Yellowtail flounder",75.3820510627896,"Medium (25–75%)"
"Acadian redfish","Piscivore",-0.0963224623900267,-0.207051026920143,0.0107069959512253,0.95,"median","qi","Acadian redfish",62.9136846587699,"Short (0–25%)"
"Alewife","Planktivore",-0.139834966434945,-0.259992206843059,-0.0243110011529588,0.95,"median","qi","Alewife",240.486987404095,"Long (75–100%)"
"Alligatorfish","Benthivore",-0.064869049495044,-0.172993539580267,0.0405178702847247,0.95,"median","qi","Alligatorfish",109.409079863922,"Medium (25–75%)"
